"('kmedoids', 'cosine', 'k=3', 'wine')","('kmeans', 'euclidean', 'k=3', 'iris')"
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
1.0,2.0
2.0,2.0
2.0,2.0
2.0,1.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,3.0
2.0,3.0
2.0,3.0
2.0,1.0
2.0,3.0
2.0,1.0
2.0,3.0
2.0,1.0
2.0,3.0
1.0,1.0
1.0,1.0
3.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,3.0
1.0,1.0
1.0,1.0
3.0,1.0
1.0,1.0
3.0,3.0
1.0,1.0
1.0,1.0
2.0,1.0
1.0,1.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
3.0,1.0
1.0,1.0
1.0,3.0
1.0,3.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
2.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,3.0
1.0,1.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,1.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,1.0
1.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
3.0,3.0
1.0,1.0
1.0,3.0
2.0,1.0
3.0,3.0
3.0,3.0
1.0,3.0
1.0,3.0
1.0,3.0
3.0,3.0
1.0,3.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,1.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,1.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,1.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
3.0,
